"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Utah","State","Utah","All Homes",16600,16175,17234,17744,16522,16984,16464,16066,16925,16784,16072,17041,16554,17594,18996,18657,18442,18694,19684,19276,18374,17911,17614,16580,15948,15409,14732,13266,13486,13814,13478,13405,13312,12569,12006,10826,10205,10511,11038,11289,12285,12878,13231,14010,13967,13890,13593,13116,12459,12698,13117,14109,14672,15362,15863,15641,15366,14943,13944,12817,12152,12184,11990,9426,9641,9893,9894,10044,10077,9873,9176,8216,7372,7916,8236,8486,8480,9887,10474,10812,10540,10106,9406,8614,7754,7708,7623,7328,7506,8092,8307,8895,9144,8982,8374,7614,7111
"Nevada","State","Nevada","All Homes",22408,22484,23178,22504,22094,21842,23690,24472,25869,28459,28057,27810,27228,27858,28773,30934,30380,30501,31994,32138,30832,30394,29521,27084,25459,24977,23899,22638,22579,22186,20140,19339,17810,11917,11594,11602,10363,10384,10434,10401,10521,10914,11391,12235,13174,13555,13928,13336,12509,12633,13093,13348,13804,14294,14729,15018,15436,15470,15132,14253,13542,14076,13542,13813,13209,13746,14819,15312,15387,15346,14901,13400,12726,13041,13368,13382,13354,16318,17910,19637,19370,18854,17950,16404,15334,15663,15579,15777,15605,15307,15050,14753,14524,14180,13504,12186,11263
"New Mexico","State","New Mexico","All Homes",11846,11956,12288,12422,12240,12656,13382,13300,13503,13322,12998,12985,12738,13146,13939,14148,13823,14171,15097,15607,15030,15000,14788,13940,12982,12695,12658,12134,12512,13118,13065,13107,13678,13354,13043,12236,11476,11866,12462,12868,13424,13959,14472,14927,14595,14299,13782,13156,12384,12418,12524,13427,14097,14654,14990,15199,14873,14491,13772,12568,11892,11760,11838,12247,12934,12860,13533,13404,12850,12348,12403,11965,11190,11225,11321,11828,12265,12705,13197,13319,13109,12656,12131,11466,10880,10842,10766,11102,11523,12135,12329,12417,12336,11988,11498,10763,9997
"West Virginia","State","West Virginia","All Homes",7108,7092,7102,7622,7391,7424,7368,7243,7450,7311,7049,7153,6858,7416,7745,7859,8199,8574,9349,9714,9264,8664,9328,8840,8146,8319,8505,8240,8143,8322,8428,8339,8678,8323,8042,7446,7130,7404,7605,7709,8074,8712,8910,8824,8591,8535,8250,7851,7523,7518,7568,8210,8706,9356,9711,9819,9814,9498,9212,8382,7897,8019,8048,8413,8834,9444,9640,9858,10140,9962,9438,8591,8112,7994,8082,8642,9024,9913,10247,10676,10616,10402,9958,9530,9191,9268,9258,9328,9689,9961,10126,10329,10296,10099,9991,9396,8696
"Nebraska","State","Nebraska","All Homes",5914,7131,6901,7152,7076,7386,7647,7656,7859,8087,8668,7809,5892,6420,7543,7572,7758,7976,8266,8229,7868,7756,7508,6615,6250,6141,6276,6200,6243,6500,6450,6437,6397,6328,6022,5500,5110,5181,5470,5429,5594,5797,6882,6974,6907,6820,6798,6022,5644,5580,5663,5919,6048,6306,6470,6610,6576,6564,6282,5791,5340,5192,5244,4520,4813,5244,5789,5825,5880,5792,5662,5070,4683,4676,4680,4890,5008,5291,5390,5574,5603,5512,5213,4701,4363,4484,4439,4468,4403,4576,4826,4865,4986,4933,4830,4466,4147
"Idaho","State","Idaho","All Homes",14288,14882,15299,15846,15245,15453,15832,15646,15906,15210,14570,14093,13780,13882,14681,15009,15014,15689,17053,17870,17170,16262,15913,15380,13952,13830,13823,13253,13681,14226,14636,13688,14010,13350,12754,11771,10696,10828,11096,11726,12542,13452,13959,14616,14385,14011,13224,12421,11403,11430,11846,12222,14028,15055,15664,15562,15070,14710,13530,12465,11480,11452,11620,11929,12366,13769,13851,13927,13376,12472,11088,9893,9168,9124,9543,10074,10724,11811,12520,12827,12306,11475,10047,9124,8086,7866,7855,7980,8476,9218,9670,10105,10003,9525,8492,7646,6646
"Hawaii","State","Hawaii","All Homes",6034,6098,6223,5846,5302,5029,4733,4508,4594,4722,4708,4844,4586,5008,5756,6166,6173,6552,7512,8079,7698,7622,8378,8228,7897,7957,8017,7644,7476,7583,7484,7046,6540,6361,6146,5874,5696,6224,6190,6030,6006,6184,5984,5830,5663,5509,5640,5604,5604,5842,6046,6058,6023,6078,6217,6279,6252,6106,6114,6122,6142,6257,6478,6025,7104,7626,8128,8062,7523,7644,7868,7783,7648,7867,8129,8028,7976,8009,7954,8034,7724,7628,7610,7624,7016,7630,7186,6874,6682,6612,6615,6515,6402,6293,6323,6208,6172
"Maine","State","Maine","All Homes",12425,13272,13242,13496,13450,14311,14490,14652,14524,14039,13176,12769,11502,11740,11911,12750,13426,15238,17240,18194,17399,16865,16583,15556,14420,14026,14184,13841,14913,15864,16106,16207,11684,11545,10830,9506,12060,12188,12489,13013,13997,14610,14987,15236,15091,14664,13649,12659,11468,11222,11281,11826,13359,14482,15296,15414,15188,14732,13588,12204,11542,11390,11194,8626,12523,13734,15222,17266,14394,13490,12418,11122,10004,9622,9592,10039,10366,11582,11943,11750,11258,10711,9834,8886,8183,7942,7683,7843,8415,9129,9497,9719,9570,9076,8388,7540,6803
"New Hampshire","State","New Hampshire","All Homes",10798,10750,11842,12506,12232,12522,12716,13154,13512,12776,12474,11199,10164,10534,10934,11830,12216,14026,15730,16543,15570,15015,13976,12571,11322,11274,11687,12052,12701,13577,13526,13278,13259,12766,11899,10556,9547,9968,10389,11064,12376,13140,13172,13268,12984,12408,11232,10059,8889,7699,8416,9425,11080,12240,12841,13042,13004,12439,11238,9730,8711,8600,8970,10155,11662,13051,13643,13267,12928,12286,10998,9400,7748,7432,7613,8209,8814,9694,9776,9662,9256,8619,7816,6938,6108,5858,5798,5990,6605,7114,7458,7656,7506,7160,6497,5397,4605
"Rhode Island","State","Rhode Island","All Homes",4904,5052,6718,6855,6877,7187,7269,6999,6822,6962,6915,6576,6113,6030,6861,7688,8152,8299,9016,8741,8576,8446,8106,7506,6888,6839,7095,7106,7436,7611,7244,7046,6948,6678,6228,5676,5266,5349,5595,5952,6384,6382,6248,6335,6268,6110,5763,5260,4719,4770,5104,5611,6180,6473,6720,6716,6619,6446,6054,5324,4840,4662,4532,5549,5952,6182,6319,6288,6090,5406,5043,4749,4421,4342,4546,4730,5035,5351,5440,5444,5379,5197,4779,4132,3780,3830,3951,4062,4377,4674,4615,4654,4598,4494,4201,3589,3085
"Montana","State","Montana","All Homes",4442,4508,4827,5138,5186,5575,5730,5802,5509,5290,5368,5517,5884,6158,6791,7086,7624,8576,9476,10140,9868,9503,9462,8710,8003,7995,7859,7760,8033,8453,8617,8631,8354,7818,7206,5555,5782,6602,6929,8058,8357,7440,7539,7567,7348,6991,6621,6270,5563,5542,5506,6269,6688,7376,7821,7964,7817,7406,6792,6074,5735,5672,5777,5604,6542,7008,7153,7262,7015,6661,6613,6381,5854,5953,6259,6620,6673,7635,7891,7849,7641,7248,6744,6272,5852,5889,5831,5979,6355,6732,6972,7068,6970,6574,6086,5670,5145
"Delaware","State","Delaware","All Homes",6215,6336,6802,7116,6912,7053,7054,8149,8697,8540,8343,8368,7838,8180,9019,9132,9164,9501,9962,9765,9298,9186,9249,9080,8572,8450,8306,8225,8370,8354,7844,7503,7718,7703,7372,6726,6410,7074,7349,7552,7519,7517,7085,7100,7107,6989,6872,6524,6166,6247,6321,6885,7252,7462,7583,7514,7480,7493,7208,6626,6340,6354,6372,5319,5842,6012,6189,6369,7569,7514,7213,6795,6443,6462,6679,6830,6932,7150,7228,7272,7298,7220,7016,6429,6170,6289,6248,6340,6361,6342,6308,6056,5986,5994,5950,5438,5024
"South Dakota","State","South Dakota","All Homes",2900,3000,3430,3634,3632,3789,3902,3930,3848,3806,3670,3507,3738,3126,3739,3943,4122,4413,4923,5084,4801,4654,4123,3795,3536,3561,3666,3688,3900,4053,4038,4069,3922,3731,3436,3318,2862,3042,3238,3318,3603,3800,3893,3984,3850,3603,3322,3090,2767,2808,2846,3221,3976,3994,3706,3558,3576,3527,3358,3190,2842,2859,2971,2812,2919,2818,2767,2853,2813,3300,3120,2598,2621,2788,2966,3246,3483,3642,3726,3720,3573,3342,3164,2858,2616,2694,2829,2946,3111,3338,3368,3449,3412,3394,3221,2958,2716
"Alaska","State","Alaska","All Homes",2748,2772,3066,3139,3312,3596,3732,3820,3833,3636,3350,3169,2875,2982,3425,3677,4098,4504,5244,5333,4794,4564,4329,3784,3460,3537,3611,3594,3891,4332,4538,4604,4564,4145,3862,3419,3157,3355,3630,3843,4137,4630,4917,4958,4624,4186,3661,3162,2740,2746,2839,3137,3394,3754,3963,3957,3752,3494,3174,2883,2572,2598,2940,3292,3412,3694,3875,3958,3783,3438,3088,2787,2525,2838,3012,3354,3632,4070,4189,4229,4046,3654,3288,2948,2724,2733,2766,3116,3412,3583,3670,3953,3962,3566,3320,2940,2678
"North Dakota","State","North Dakota","All Homes",1372,1590,1504,1449,1458,1527,1608,1642,1655,1626,1563,1550,1424,1467,1509,1632,1674,1798,1889,1952,2020,1944,2037,1873,1654,1566,1546,1278,1377,1462,1504,1577,1680,1661,1656,1402,1260,1237,1252,1209,1144,1319,1188,1347,1451,1508,1428,1288,1164,1172,1216,1261,1418,1476,1489,1614,1686,1797,1748,1496,1358,1367,1456,1646,1784,1810,1948,2054,2142,2146,2056,1937,1810,1962,2146,2258,2602,2846,3097,3161,2930,2886,2797,2556,2392,2549,2715,2862,3172,3391,3702,3671,3752,3713,3550,3381,3037
"Vermont","State","Vermont","All Homes",4128,4206,4518,4723,4780,5031,5176,5284,5293,5058,4840,4697,4489,4808,4694,5018,5156,5957,6974,7688,7324,7232,7116,7212,6957,6894,6962,6899,7313,7572,7737,7883,8180,7996,7518,7074,6788,6818,6862,6972,7334,7872,7971,8162,8129,7956,7362,6869,6534,5809,6210,6595,7248,7822,8313,8701,8616,8422,7781,7258,6944,6877,7234,7430,7463,8112,8668,8802,8618,8346,7826,7258,6498,6378,6269,6444,6648,7356,7610,7670,7490,7200,6607,6282,5943,5868,5821,5740,5868,6223,6409,6442,6359,6112,5657,5184,4799
"District of Columbia","State","District of Columbia","All Homes",1934,1918,2110,2296,2201,2257,2240,1810,1991,2424,2406,2326,2024,2108,2298,2310,2390,2577,2562,2447,2363,2366,2345,2120,1825,1910,1900,1804,1767,1760,1648,1579,1404,1346,1282,1062,918,957,935,1085,1187,1066,1027,1008,1043,1201,1218,1102,911,919,912,1074,1128,1271,1246,1171,1239,1364,1272,1035,912,928,964,1195,1234,1290,1247,1208,1299,1457,1456,1168,1038,1026,1109,1226,1286,1344,1285,1152,1270,1312,1271,1150,1041,1092,1095,1114,1223,1332,1230,1120,1296,1430,1747,1558,1303
"Wyoming","State","Wyoming","All Homes",2138,2213,2355,2580,2608,2755,3030,3090,3111,3064,3013,2845,2728,2948,3888,4004,4172,4584,5326,5729,5446,5252,5144,4696,4324,4389,4397,4190,4383,4634,4682,4775,4808,4435,4485,4222,3878,3911,4006,4011,4072,4327,4409,4420,4312,4030,3788,3529,3264,3216,3279,3553,3785,3957,4089,3420,3418,3233,3173,3018,2760,2858,3020,3203,3542,3698,3942,4174,4035,3888,3730,3372,3106,3414,3795,4048,4182,4572,4797,4964,4836,4664,4372,4053,3738,3724,3773,4014,4529,4852,5024,5157,5068,4714,4410,3992,3716
