"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Massachusetts","State","Massachusetts","All Homes",37740,38681,39108,38103,36846,36573,36386,36043,36468,37365,37944,37893,37360,37311,38773,40999,42154,42789,43915,44112,43206,42290,41367,40329,39509,39231,38996,38260,37537,36597,35187,33938,32866,31958,31244,30574,30295,30458,30313,29519,27737,25197,23853,24053,24359,24428,24602,24966,25212,25082,24842,24894,25422,26194,26489,26322,26041,25471,24756,24312,24047,23228,22177,22316,23633,24801,25179,25123,25018,24867,24489,23767,22857,22096,21456,20568,19864,19728,19529,19130,18870,18712,18677,18977,19276,18880,17793,16659,15981,15679,15422,15285,15381,15516,15804,16285,16639
"Indiana","State","Indiana","All Homes",47281,48096,48839,47389,44042,42196,41969,42137,42752,42658,42188,42392,42907,43574,44301,44785,44810,44675,44375,43370,42116,41492,41094,40114,39160,38901,38750,38506,38768,38731,37885,37018,36056,35164,34830,34854,34870,34688,34340,34133,34049,33779,33584,33544,33348,32993,32875,33032,32795,32118,31755,32284,33155,33431,33437,33562,33549,33378,33011,32566,32132,31515,31055,31311,32051,32524,32648,32721,32816,32832,32322,31380,30605,29907,29126,28332,27551,27104,26946,26708,26541,26574,26574,26493,26406,26064,25083,23742,22672,22070,21707,21477,21543,21737,21888,22038,22055
"Arizona","State","Arizona","All Homes",50312,51204,53115,54198,54257,54708,55210,55985,57432,58713,59906,60647,60485,61097,61740,60511,59111,58689,57896,55958,53396,51145,49870,49153,47637,43240,37659,34768,33865,33335,33207,33399,33431,33021,32446,32003,31814,32034,32525,32709,32398,31866,31812,32449,33295,34280,35278,36026,36762,37834,38998,39833,40101,40037,39886,39340,38553,37794,37185,36807,36442,36206,36122,35741,35105,34650,34365,34129,34298,34663,33903,32330,31614,31820,32327,33504,35053,35501,35054,34534,33793,32975,32456,32235,32025,31831,31713,31470,30924,30165,29472,28975,28556,28055,27614,27421,27346
"Tennessee","State","Tennessee","All Homes",56079,56405,57304,57600,56943,57008,57339,57268,57575,57817,58022,58051,58632,61017,63348,64476,64884,64826,65067,65214,64271,63495,63055,61846,60287,58995,58099,56994,55771,54672,53472,52781,52452,51834,51372,51320,51492,51993,52891,53822,54061,53301,52221,51438,51073,50873,50592,50083,48963,48070,48606,49792,50335,50339,49952,49135,48310,47504,46580,45902,45432,43278,38147,33777,33233,33931,34237,34427,34283,33897,33390,33107,32996,32904,33402,33937,33568,33019,32694,32341,32152,31947,31478,31249,31271,30886,30239,29393,28167,27509,27687,27790,27872,28250,28685,29064,29284
"Missouri","State","Missouri","All Homes",49483,51009,53752,54715,53121,51488,50827,50636,50660,50633,50524,50636,50912,51389,52123,52625,52968,53846,54874,54947,54214,53783,53370,51959,50581,50414,50115,48896,47799,46708,45336,44306,43535,42711,42054,41932,42422,42658,41987,41294,41234,41018,40504,40393,40649,40985,41214,41124,40748,40308,40015,40169,40549,40594,40410,40307,40154,39831,39370,39027,38584,36992,35343,35441,36132,36559,36964,36948,36655,36113,35377,34965,34646,34222,33803,33202,32625,32324,31989,31526,31176,31012,31018,31323,31670,31340,30360,29393,28698,28232,27924,27773,27755,27686,27741,28105,28354
"Maryland","State","Maryland","All Homes",33799,33775,34266,34586,34007,33677,33832,34259,35270,35964,36488,37116,37366,38247,38918,38204,37808,38152,38057,37096,35977,35302,34691,33963,33311,32672,31652,30215,28884,27734,26688,25580,24105,22968,22526,22350,22446,22555,22199,21777,21380,20700,20388,20687,21168,21730,22330,22821,23031,23040,23492,24580,25758,26800,27438,27648,27764,27746,27470,27200,27114,26724,26427,27048,27843,28043,27987,28147,28397,28218,27424,26452,25809,25592,25704,25770,25656,25605,25595,25502,25272,24589,23561,23020,22905,22539,21941,21448,21042,20665,20546,20714,20896,21632,23128,23862,23646
"Wisconsin","State","Wisconsin","All Homes",42777,43204,44457,45064,43802,42133,41278,41131,41718,42638,44082,45695,46460,46955,47523,47484,47354,48560,50466,51313,50990,50546,50061,49289,48623,48061,47449,46548,45474,44515,43444,42501,42008,41697,41415,41381,41611,41509,41225,41281,41241,40760,40374,40533,40813,40919,40894,40649,40237,39809,39875,40821,41704,42033,42388,42615,42508,42333,41925,41119,40472,40163,38734,37071,37509,38061,37393,36639,35989,35334,34894,34804,34607,34303,34469,34777,34799,34967,35014,34653,34181,33534,32741,32034,31566,31252,31027,30823,30163,29209,28438,27893,27667,27594,27409,27219,27114
"Minnesota","State","Minnesota","All Homes",31741,32315,33581,34180,33788,33322,32914,32837,33147,33735,34755,35507,35720,35879,35883,35299,34589,34623,34626,33572,32123,31334,30887,30234,29783,29310,28335,27012,25665,24489,23421,22476,21720,20781,20160,20622,21276,21326,20895,20556,20515,20437,20534,20791,20872,21122,21719,22174,22176,21818,21647,22109,23062,24199,25119,25637,26248,26905,26553,25455,24615,24161,23874,23963,24178,23772,23364,23722,24113,24009,23871,23554,23035,22954,23434,23970,24208,24197,23980,23524,22868,21932,20880,20313,20171,19905,19465,19154,18866,18446,18130,18096,18196,18208,18129,17987,17876
"Colorado","State","Colorado","All Homes",46687,47026,48088,48907,48228,47244,46732,46913,48073,49083,49694,49932,49830,50480,51166,50564,49671,49825,50315,49130,46553,44864,44210,43567,42822,41732,39876,37893,36688,35541,34118,33435,33424,33212,32687,32406,32706,33124,33325,33448,33312,32785,32275,31822,31254,31089,31185,30906,30362,29790,29712,30290,30635,30541,30348,30028,29511,28560,27475,26827,26474,26051,25207,24356,24230,24377,24459,24689,25033,25252,25038,24182,22839,21734,21483,21715,22035,22685,23301,23505,23481,23221,22866,22759,22752,22358,21614,21198,21011,20189,19117,18712,18690,18492,18325,18607,19036
"Alabama","State","Alabama","All Homes",32599,32739,33349,34388,35039,35708,36395,36085,35624,35623,35713,35682,35568,36512,38234,38598,37675,37060,37125,37235,37046,36924,36723,36261,35917,34915,32774,31117,30573,30149,29467,29179,29606,30094,30283,30361,30543,30815,30975,30918,30900,30800,30295,29418,28194,27375,27508,27914,27904,27667,27858,28372,28598,28553,28919,29883,30705,30954,30815,30703,30753,30825,30682,30477,30803,31246,31330,31154,30798,30410,29938,29486,29186,28982,29051,29298,29361,29352,29261,29262,29607,29756,29548,29380,29317,29009,28352,27882,27596,27204,26906,26745,26604,26360,26155,26121,26150
"South Carolina","State","South Carolina","All Homes",48705,49476,50135,49794,48988,48786,48490,47890,47404,46708,46679,47445,47696,47513,47744,48137,48338,49090,50496,50739,49506,48906,48643,47424,46597,46629,46222,45383,44543,43264,41883,41239,41125,40944,40579,40366,40404,40694,41340,41949,42173,41793,41088,40775,40884,41088,41158,41050,40870,40789,41118,41967,42506,42220,41527,41040,41095,41210,41045,40661,40046,38782,36601,34500,33861,34507,35269,35690,35645,34863,33915,33627,33366,32777,32461,32431,32352,32207,32091,31913,31722,31580,31462,31537,31666,31463,31074,30697,30075,29310,28886,28699,28616,28782,28931,28934,28966
"Louisiana","State","Louisiana","All Homes",16760,16754,16681,16535,16379,16699,17283,17446,17390,17263,17165,17335,17551,17608,17690,17753,17601,17599,17791,17659,17296,17234,17377,17304,17021,16824,16529,15897,15478,15177,14662,14470,14608,14735,14726,14543,14558,14716,14659,14519,14402,14177,13959,14001,14157,14267,14388,14479,14358,14078,14021,14268,14430,14305,14130,14050,14011,13985,14043,14138,14041,13861,13880,14041,14148,14133,14103,14163,14204,14059,13837,13739,13658,13633,13812,13956,13987,14245,14672,14799,14714,14771,14883,14991,15380,15939,16268,16750,17531,18011,18214,18503,18894,19179,19355,19562,19804
"Kentucky","State","Kentucky","All Homes",23120,23048,23065,22975,22412,22142,22615,23218,23552,23703,24046,24393,24529,24840,25369,25912,26234,26291,26299,26081,25824,25952,25849,25239,24860,24823,24589,24133,23959,23914,23543,23233,23169,23065,23120,23395,23616,24002,24554,24877,24888,24482,23909,23597,23476,23377,23225,23071,22880,22554,22437,22713,23002,23219,23438,23524,23455,23267,23054,22888,22625,22130,21389,20766,20699,20902,20893,20693,20433,20042,19567,19190,18875,18569,18449,18457,18299,18116,18097,18030,17845,17651,17497,17437,17517,17518,17115,16457,15947,15702,15603,15611,15694,15866,16057,16071,15956
