"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Nevada",34,,1600,1399.5,1400,1337.5,1350,1495,1550,1595,1550,1450,1400,1400,1395,1395,1450,1400,1400,1400,1400,1395,1395,1375,1395,1350,1395,1395,1350,1390,1395,1350,1350,1345,1325,1300,1300,1300,1350,1350,1350,1350,1362.5,1387.5,1395,1395,1395,1395,1350,1350,1375,1375,1395,1395,1400,1400,1400,1400,1399,1399,1400,1400,1450,1495,1495,1495,1495,1495,1495,1450,1475,1450,1450,1495,1525,1500,1500,1550,1500,1500,1485,1495,1500,1495,1500,1550,1595,1600,1600,1650,1650,1625,1600,1600,1625,1650,1650
"New Mexico",35,,,,,,,,,,,,,,,,,1550,1425,1425,1395,1297.5,1295,1295,1300,1300,1375,1300,1250,1262.5,1350,1300,1295,1250,1250,1275,1297,1300,1350,1350,1350,1300,1300,1300,1350,1300,1295,1295,1275,1250,1250,1250,1300,1325,1325,1300,1275,1250,1250,1250,1275,1250,1275,1295,1350,1325,1297,1300,1299.5,1275,1250,1295,1295,1312.5,1350,1350,1395,1395,1350,1300,1325,1350,1300,1362.5,1300,1350,1300,1350,1395,1350,1350,1400,1395,1350,1400,1400,1350
"West Virginia",36,,,,,,,,,,,,,,,1497.5,1500,1500,1495,1495,1497.5,1400,1400,1400,1275,1350,1400,1400,1425,1500,1595,1550,1450,1395,1397.5,1397.5,1375,1375,1350,1325,1500,1472.5,1450,1475,1450,1350,1372.5,1350,1400,1400,1300,1300,1350,1350,1350,1350,1350,1300,1485,1525,1462.5,1450,1350,1350,1350,1550,1500,1325,1350,1350,1300,1275,1395,1325,1400,1397.5,1200,1200,1200,1400,1425,1350,1265,1200,1100,1250,1300,1260,1225,1300,1300,1275,1300,1200,1200,1200,1250
"Nebraska",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1300,1325,1400,1297.5,1200,1200,1175,1347.5,1300,1297.5,1250,1272.5,1350,1225,1347.5,1395,1297.5,1300,1450,1397.5,1410,1285,1250,1395,1295,1300,1365,1395,1350,1300,1387.5,1300,1300,1300,1337.5,1365,1475,1342.5,1250,1275,1197.5,1200,1250,1300,1395,1400,1475,1400,1395,1325,1300,1350,1350,1350,1300
"Idaho",38,,,,,,,,,,,,1095,1050,1172.5,1125,1100,1000,1000,1095,1090,1095,1070,995,962.5,995,1030,1027.5,1050,1100,1125,1100,1100,1100,1095,1100,1070,1095,1100,1200,1200,1195,1150,1150,1195,1195,1195,1195,1149.5,1175,1195,1195,1249,1262.5,1250,1250,1200,1225,1250,1195,1195,1200,1235,1325,1265,1250,1250,1295,1195,1195,1200,1200,1200,1280,1267.5,1350,1295,1362.5,1300,1325,1300,1375,1300,1255,1350,1350,1450,1400,1395,1400,1450,1400,1400,1450,1425,1475,1495
"Hawaii",39,,,,,,,,,,,,,2500,2800,2900,2800,2800,2850,2650,2750,2795,2600,2550,2500,2500,2597.5,2595,2600,2650,2650,2695,2772.5,2700,2600,2500,2500,2700,2587.5,2800,2800,2900,2700,2575,2700,2700,2600,2600,2500,2500,2500,2565,2750,3000,3000,2800,2700,2800,2800,2900,2875,2925,2850,3000,3150,3000,3000,2950,3000,3150,3200,3200,3000,2900,3100,3100,3000,3300,3100,3000,3000,3000,2975,2975,2900,3100,3200,3200,3200,3200,3150,3000,3000,3000,2950,2950,2900
"Maine",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.5,1750,1690,1600,1750,1650,1700,1750,1800,1625,1625,1625,1600
"New Hampshire",41,,,,,,,,,,,2000,1850,1850,2000,2000,1900,2000,2100,1975,1825,1800,1800,1850,2000,1700,1850,2000,2000,2000,2000,2000,2000,1995,2000,2000,2000,2000,1900,2000,2100,2100,2000,2000,1995,1895,1800,1950,1800,1800,1750,1850,2000,1997.5,2100,1992.5,1750,1875,1800,1800,1600,1600,1800,1995,2000,2000,2000,1950,2000,1900,1874.5,1900,1800,1800,1837.5,1950,1895,1900,1800,1995,1800,1800,1900,2000,1750,1800,1800,1900,1637.5,1900,1850,2000,2000,2000,2000,2000,1800
"Rhode Island",42,,,,,,,,,,,,,,,,,,,,,2000,2000,1912.5,2000,2000,1950,2000,2000,2000,2000,2000,2000,2000,1997.5,2100,2000,2200,2100,2100,2000,2000,2000,1900,1825,1900,2000,2000,1895,1925,1899,1900,2000,1950,1850,1800,1800,1950,1950,1900,2000,2025,2100,2100,2000,2000,2000,1950,1950,2000,2000,2000,2200,2200,2200,2200,2000,2000,2000,1950,2200,2015,2250,2200,2200,2300,2312.5,2200,2275,2200,2350,2300,2300,2300,2300,2300,2300
"Montana",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1397.5,1400,1395,1395,1300,1300,1200,1225,1337.5,1295,1200,1197.5,1195,1350,1395,1350,1300,1350,1350,1322.5,1350,1350,1400,1400,1395,1397.5,1395,1350,1395,1362.5,1337.5,1250,1300,1375,1395,1300,1400,1500,1495,1450,1372.5,1425,1462.5,1400,1450,1395,1400,1597.5,1695,1600,1500,1500,1450,1442.5,1400,1400,1400
"Delaware",44,,,,,,,,,,,,1650,1600,1600,1600,1600,1500,1600,1650,1600,1700,1680,1700,1675,1600,1525,1650,1650,1625,1700,1650,1672.5,1650,1600,1650,1685,1699.5,1650,1700,1750,1790,1800,1797,1750,1725,1700,1699.5,1700,1500,1475,1500,1725,1650,1700,1712.5,1735,1750,1700,1700,1700,1750,1675,1700,1785,1750,1750,1737.5,1725,1650,1650,1700,1700,1775,1750,1775,1725,1749.5,1795,1762.5,1795,1700,1750,1695,1660,1650,1650,1700,1700,1700,1733,1700,1710,1710,1700,1700,1700
"South Dakota",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1330,1325,1350,1395,1437.5,1400,1385,1350,1335,1400,1400,1300
"Alaska",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,1850,1850,1970,1800,1970,2150,2200,2290,2175,2100,2000,1990,1900,1800,1775,1785,1795,2000,2100,2092.5,2200,2070,2050,2072.5,2175,2250,2086.5,2073,1950,2300,2250,2250,2195,2100,2200,2100,2100,2150,2100,2150,2200,2195,1945,2200,2200,2200,1950,1920,1970,1900,1900,1845,1990,2000,2100,2100,2000,2050,2000,1995,2025,2100
"North Dakota",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1600,1565,1500,1495,1447.5,1495,1395,1395,1495,1395,1460
"District of Columbia",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075,3000,2970,3250,2999,2910,2797.5,2675,2970,2900,2950,3000,3500,3500,3300,3125,2875,2850,2987,3125,3494,3000,3482.5,3250,3482.5,3550,3200,3300,3132.5,3000,3095,3100,3500,3600,3500,3450,3725,3850,3600,3500,3500,3435,3400
